graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_state_impact_scores,stochastic_state_impact_scores,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
Cardiac development,False,15,1,1,0.06666666666666667,7,2.533333333333333,6,1.0,1.0,0.0,1,0.11400714760387501,0.24355195283714076,0.25350036845983787,"[0.505526897568165, 0.505526897568165, 0.505526897568165, 0.7428150331613854, 0.505526897568165, 0.505526897568165, 0.7516580692704494, 0.505526897568165, 0.2608695652173913, 0.7538688282977154, 0.505526897568165, 0.49447310243183495, 0.505526897568165, 0.7538688282977154, nan]","[0.5013264554163587, 0.5032792925571102, 0.5020633750921139, 0.018540899042004413, 0.14815770081061166, 0.22131908621960222, 0.11764922623434046, 0.03595431098010315, 0.016536477523949874, 0.2555637435519533, 0.5023949889462034, 0.1538467207074429, 0.5034635224760489, 0.25623434045689053, nan]","[0.0, 0.0, 0.0, 0.01105379513633014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.009, 0.002, 1.0, 0.01, 0.0, 0.009, 0.0, 0.0, 0.008, 0.005, 0.0, 0.007, 0.0, 0.0, nan]",2.158277988433838,1401.5690050125122,237.0780839920044,97.76846194267273
Cell Cycle Transcription by Coupled CDK and Network Oscillators,False,9,1,0,0.0,4,2.111111111111111,2,3.0,3.0,2.0,5,0.2583148558758315,0.5,0.7583148558758315,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3308425720620845, 0.38150776053215096, 0.658758314855876, 0.10800443458980052, 0.37809312638580955, 0.3335920177383594, 0.5905099778270513, 0.14625277161862532, 0.6208425720620845]","[0.24168514412416853, 1.0, 0.24168514412416853, 0.24168514412416853, 0.24168514412416853, 0.0, 0.24168514412416853, 1.0, 0.0]","[0.129, 0.873, 0.043, 0.246, 0.153, 0.048, 0.048, 0.914, 0.193]",0.2828960418701172,302.7255640029907,7.156747102737427,32.78041195869446
Cholesterol Regulatory Pathway,False,34,1,0,0.0,3,1.2647058823529411,13,8.615384615384615,12.0,5.076923076923077,12,0.08616710577789785,0.018425460636515914,0.2574410514109007,"[0.6651204741657003, 0.6651204741657003, 0.6651204741657003, 0.6651204741657003, 0.6651204741657003, 1.0, 1.0, 0.5912897822445561, 1.0, 0.4094833140059271, 0.6651204741657003, 0.6651204741657003, 1.0, 0.6651204741657003, 0.6651204741657003, 0.818193531761371, 0.6651204741657003, 0.6651204741657003, 0.6651204741657003, 0.818193531761371, 0.818193531761371, 1.0, 0.818193531761371, 0.6651204741657003, 0.818193531761371, 0.4833140059270712, 0.6651204741657003, 1.0, 0.6651204741657003, 0.6651204741657003, 0.4076794227547996, 1.0, 0.6651204741657003, 1.0]","[0.619198556886994, 0.611892797319928, 0.6160675170725372, 0.6066743976291665, 0.611892797319928, 0.3174590903234123, 0.6129364772580804, 0.5179976807112449, 0.7213142636258186, 0.33142378559463986, 0.615023837134385, 0.6118927973199281, 0.31590258987243924, 0.6139801571962323, 0.6087617575054711, 0.41840871021775333, 0.6139801571962326, 0.6087617575054712, 0.6150238371343849, 0.691993299832492, 0.5607267104754503, 0.35047545419404647, 0.7393789460121095, 0.6108491173817757, 0.682433964695267, 0.44394923334621617, 0.6139801571962327, 0.5974539363484039, 0.6171111970106896, 0.6108491173817758, 0.19150496070094128, 0.6439015590774331, 0.5139994846024962, 0.5819713954387274]","[0.0, 0.0, 0.4076794227547996, 0.0, 0.0, 0.22187862388867413, 0.024739080015461927, 0.3348795258342997, 0.03659322252287076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005927071253704419, 0.4036850921273032, 0.0, 0.4076794227547996, 0.0, 0.0, 0.0, 0.024739080015461927, 0.0, 0.0, 0.0, 0.4076794227547996, 0.0, 0.04471073315294421]","[0.0, 0.0, 0.254, 0.001, 0.0, 0.249, 0.211, 1.0, 0.219, 0.0, 0.0, 0.223, 0.0, 0.0, 0.0, 0.012, 0.0, 0.0, 0.0, 0.001, 0.242, 0.237, 0.001, 0.246, 0.0, 0.0, 0.0, 0.216, 0.218, 0.244, 0.001, 0.233, 1.0, 0.231]",16.787505865097046,25477.81538105011,1877.0592560768127,1053.8911118507385
Cortical Area Development,False,5,1,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,"[1.0, 0.875, 1.0, 1.0, 1.0]","[0.26125, 0.27375, 0.12875, 0.0475, 0.16]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.14, 0.0, 0.124, 0.126, 0.0]",0.05641889572143555,112.37046599388123,4.233826160430908,14.361215114593506
Death Receptor Signaling,False,28,1,3,0.10714285714285714,4,1.6071428571428572,57,3.754385964912281,2.0,2.6041849029832393,8,0.0267368566519698,0.005758946935417524,0.1048951048951049,"[1.0, 0.9683257918552037, 0.5228301110654052, 0.8416289592760182, 0.7252159605100781, 1.0, 1.0, 0.995269436445907, 0.7067050596462361, 1.0, 0.9866310160427807, 1.0, 0.869600987248046, 1.0, 0.27889757301522006, 0.9880707527766351, 0.26799670917317975, 0.5462772521596051, 1.0, 0.9572192513368984, 0.8416289592760182, 1.0, 1.0, 0.9683257918552037, 0.8089263677498971, nan, nan, nan]","[0.4285191279308888, 0.6717359111476715, 0.46680995475112547, 0.681094199917721, 0.6420999588646567, 0.4471781160016393, 0.4208885232414611, 0.7316248457424933, 0.4079226655697202, 0.5771554915672491, 0.2830954339777874, 0.3926655697243903, 0.17288153023446906, 0.6160941999177213, 0.3190785684903334, 0.23532908268202238, 0.32351501439736735, 0.5457897984368498, 0.61249280131632, 0.2926532291238175, 0.7202241875771273, 0.5803537638831665, 0.49735911147675166, 0.7369888934594804, 0.24252982311805735, nan, nan, nan]","[0.12566844919786097, 0.1334841628959276, 0.1334841628959276, 0.0, 0.0, 0.1334841628959276, 0.1334841628959276, 0.0, 0.09769642122583298, 0.10057589469354175, 0.08329905388728918, 0.12196626902509256, 0.1334841628959276, 0.0, 0.0, 0.1332784862196627, 0.0, 0.0, 0.20361990950226244, 0.1334841628959276, 0.0, 0.0, 0.09378856437679967, 0.12011517893870835, 0.0, nan, nan, nan]","[0.805, 0.184, 0.245, 0.051, 0.288, 0.233, 0.241, 0.0, 0.254, 0.245, 0.761, 0.077, 0.236, 0.09, 0.161, 0.089, 0.209, 0.213, 0.482, 0.208, 0.0, 0.0, 0.331, 0.082, 0.338, nan, nan, nan]",23.346174955368042,12165.33061504364,6666.557964086533,486.0780770778656
Fanconi anemia and checkpoint recovery,False,15,1,0,0.0,8,4.4,1,2.0,2.0,0.0,2,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.16, 0.24, 0.15, 0.01, 0.12, 0.25, 0.24, 0.08, 0.2, 0.13, 0.12, 0.07, 0.04, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.685534954071045,2019.680058002472,2.5033950805664062e-05,154.6238398551941
HCC1954 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,81,1.0,1.0,0.0,1,0.013239730247447762,0.002331002331002331,0.039627039627039624,"[0.432012432012432, 0.9658119658119658, 0.6853146853146852, 0.47707847707847706, 0.5151515151515151, 0.6713286713286712, 0.40326340326340326, 1.0, 0.32867132867132864, 0.6713286713286712, 0.6713286713286712, nan, nan, nan, nan, nan]","[0.13219891219892077, 0.3442191142191102, 0.14987567987568903, 0.21516705516706172, 0.12522921522922326, 0.14123543123543963, 0.1258197358197435, 0.324693084693085, 0.11295260295260924, 0.14262626262627104, 0.1333255633255718, nan, nan, nan, nan, nan]","[0.06060606060606057, 0.010878010878010878, 0.31235431235431227, 0.009324009324009324, 0.0, 0.03496503496503496, 0.06060606060606057, 0.0, 0.06060606060606057, 0.2727272727272727, 0.0, nan, nan, nan, nan, nan]","[0.076, 0.022, 0.728, 0.025, 0.0, 0.039, 0.084, 0.0, 0.067, 0.739, 0.001, nan, nan, nan, nan, nan]",3.842810869216919,1224.4828338623047,2424.1236979961395,90.8408408164978
Human Gonadal Sex Determination,False,19,1,0,0.0,10,4.157894736842105,2,1.0,1.0,0.0,1,0.03244274809160308,0.5,0.5324427480916031,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5324427480916031, 1.0, 1.0, 0.5324427480916031, 0.5324427480916031, 0.5324427480916031, 0.5324427480916031, 1.0, 0.5324427480916031, 1.0, 1.0, 0.5324427480916031, 1.0, 0.5324427480916031]","[0.07467557251908397, 0.2761068702290076, 0.04935114503816794, 0.01935114503816794, 0.17259541984732826, 0.4980534351145036, 0.02, 0.12870229007633585, 0.04935114503816794, 0.5006488549618322, 0.09935114503816792, 0.030648854961832058, 0.0, 0.05870229007633588, 0.27, 0.005324427480916031, 0.015324427480916029, 0.05532442748091603, 0.2040267175572519]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.003, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.0, 0.0]",7.5027549266815186,4689.342945098877,860.5066509246826,240.52830505371094
Iron acquisition and oxidative stress response in aspergillus fumigatus,False,22,1,2,0.09090909090909091,6,1.7272727272727273,4,5.5,5.5,3.5,9,0.014579578177369972,0.24897119341563786,0.2697759487882945,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5272062185642432, nan, nan]","[0.0930498399634202, 0.6218381344307268, 1.0, 1.0, 0.7363968907178777, 0.6145587562871512, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7416689529035203, 0.6176543209876542, 0.587110196616369, 0.4071101966163694, 1.0, 0.7573616826703241, 1.0, 1.0, 0.13619112940100597, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]",1.9218850135803223,3959.3634040355682,170.21131992340088,174.97341990470886
Lac Operon,False,13,1,3,0.23076923076923078,4,1.6923076923076923,9,1.0,1.0,0.0,1,0.03944969690420185,0.11784511784511785,0.14562289562289563,"[0.7230639730639731, 0.7230639730639731, 1.0, 0.2735690235690236, 0.7230639730639731, 0.7230639730639731, 0.3947811447811448, 0.537037037037037, 0.73989898989899, 0.7230639730639731, nan, nan, nan]","[0.3150336700336703, 0.478872053872055, 0.15543771043771049, 0.13752525252525258, 0.26397306397306397, 0.5133838383838402, 0.06911616161616163, 0.5025925925925949, 0.16106060606060613, 0.3019612794612795, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]","[0.002, 0.0, 0.002, 0.0, 0.0, 0.003, 0.002, 0.002, 0.005, 0.003, nan, nan, nan]",0.4223170280456543,652.0034880638123,37.30737495422363,43.00011682510376
Lymphoid and myeloid cell specification and transdifferentiation,False,33,1,2,0.06060606060606061,10,2.8484848484848486,11,1.1818181818181819,1.0,0.38569460791993504,2,0.07010939041469345,0.056727870649493015,0.21183885996163332,"[0.8991504521786791, 1.0, 1.0, 1.0, 0.8144697177308852, 0.7136201699095642, 1.0, 0.8144697177308852, 0.9986297615785147, 0.5102767881611401, 1.0, 0.8144697177308852, 0.7136201699095642, 0.8991504521786791, 0.4568374897232118, 0.7136201699095642, 1.0, 0.8144697177308852, 0.8991504521786792, 0.8991504521786791, 0.8991504521786791, 1.0, 0.8144697177308852, 0.8144697177308852, 1.0, 0.8991504521786792, 1.0, 1.0, 0.7136201699095642, 0.8144697177308852, 1.0, nan, nan]","[0.5489778021375737, 0.28615237051246944, 0.270945464510825, 0.47063030967388464, 0.003154288846259239, 0.23573307755549458, 0.23083584543710628, 0.09928199506714164, 0.14442861057824039, 0.26754453274869827, 0.5405343929843812, 0.06395724856124979, 0.01907097835023292, 0.4686160591943009, 0.22736366127706226, 0.0017593861331871756, 0.5006303096738849, 0.029161414086050948, 0.07460126061934795, 0.5565798848999741, 0.2109591668950399, 0.49026034530008344, 0.09366949849273773, 0.14023568100849532, 0.2049931488078927, 0.08312688407782971, 0.5005755001370252, 0.21575774184708135, 0.0022143052891203103, 0.16082488352973406, 0.1314360098657164, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.8991504521786791, 0.0, 0.0, 0.05809810907097835, 0.0, 0.0, 0.05809810907097835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan]","[0.0, 0.0, 0.0, 0.001, 0.065, 0.911, 0.0, 0.0, 0.085, 0.036, 0.0, 0.09, 0.0, 0.088, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.042, 0.0, 0.001, 0.0, 0.001, 0.05, 0.002, 0.217, nan, nan]",8.281028032302856,18080.299840927124,10399.280872821808,903.8129789829254
