graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_time,stochastic_model_time
Lac Operon,True,13,1,3,0.23076923076923078,4,1.6923076923076923,8,1.0,1.0,0.0,1,0.014264628249799289,0.125,0.14340490797546013,"[0.75, 1.0, 0.75, 0.2584355828220859, 1.0, 1.0, 0.49923312883435583, 0.50920245398773, 0.50920245398773, 1.0, nan, nan, nan]","[0.26875, 0.56, 0.09125, 0.1288420245398773, 0.24625, 0.57, 0.05622315950920245, 0.501288343558282, 0.12065184049079755, 0.23045245398773007, nan, nan, nan]",0.1447761058807373,16.820415019989014
Mammalian Cell Cycle,True,20,1,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.0015290519877675657,0.5,0.5015290519877675,"[1.0, 1.0, 0.5015290519877675, 1.0, 0.5015290519877675, 1.0, 0.5015290519877675, 1.0, 1.0, 1.0, 1.0, 0.5015290519877675, 0.5015290519877675, 1.0, 0.5015290519877675, 0.5015290519877675, 1.0, 0.5015290519877675, 0.5015290519877675, nan]","[0.03, 0.12, 0.4997859327217117, 0.26, 0.10499999999999998, 0.51, 0.24772171253822617, 0.05, 0.14, 0.115, 0.135, 0.5001223241590216, 0.22753822629969409, 0.055, 0.2549541284403669, 0.0525229357798165, 0.475, 0.5001070336391436, 0.027522935779816512, nan]",0.24160504341125488,26.715754985809326
Mammalian Cell Cycle 2006,True,10,1,0,0.0,6,3.5,5,2.0,2.0,1.0954451150103321,4,0.10450685635163195,0.18980169971671387,0.3271954674220963,"[0.9773371104815863, 0.7875354107648724, 0.9773371104815864, 1.0, 0.9773371104815864, 0.5070821529745042, 0.7875354107648725, 0.5297450424929179, 0.7875354107648725, 0.9773371104815864]","[0.3377053824362608, 0.34936260623229487, 0.43317280453257806, 0.026154390934844195, 0.07724504249291785, 0.5002124645892352, 0.031529745042492924, 0.04220963172804534, 0.04074362606232295, 0.11646600566572238]",0.23440003395080566,22.89087414741516
Metabolic Interactions in the Gut Microbiome,True,12,1,1,0.08333333333333333,5,2.5,20,3.0,3.0,1.0,4,0.043424940909614844,0.025043177892918825,0.1226252158894646,"[1.0, 0.270293609671848, 1.0, 0.531951640759931, 1.0, 1.0, 0.8730569948186528, 1.0, 0.4680483592400691, 1.0, 1.0, nan]","[0.21047927461139898, 0.05917530224525045, 0.19611398963730572, 0.4987219343696028, 1.0, 0.48636010362694326, 0.2590544041450779, 1.0, 0.09425734024179619, 0.2085751295336788, 1.0, nan]",0.7636580467224121,127.0122389793396
Neurotransmitter Signaling Pathway,True,16,1,0,0.0,3,1.375,5,2.0,2.0,0.0,2,0.1169415806985401,0.1442133815551537,0.43309222423146476,"[0.8422242314647378, 0.8422242314647378, 0.8639240506329114, 1.0, 0.8422242314647378, 0.5619349005424955, 1.0, 0.5619349005424955, 0.8422242314647378, 1.0, 0.5669077757685352, 0.8422242314647378, 1.0, 0.8422242314647378, 1.0, 1.0]","[0.6542902350813751, 0.6361030741410493, 0.24912522603978313, 0.805061030741411, 0.6603526220614835, 0.5018580470162749, 0.3278051537070524, 0.31260171790235125, 0.6381238698010855, 0.7897287522603983, 0.504014466546112, 0.6340822784810132, 0.46172920433996434, 0.6199367088607599, 0.35931509945750484, 1.0]",0.17296195030212402,31.126500844955444
Oxidative Stress Pathway,True,19,1,1,0.05263157894736842,4,1.6842105263157894,4,3.25,3.0,1.7853571071357126,6,0.1706489183791788,0.19858318098720293,0.5287934186471663,"[0.5287934186471663, 0.5287934186471663, 0.5287934186471663, 1.0, 1.0, 0.5287934186471663, 0.9259597806215722, 0.5287934186471663, 0.5287934186471663, 1.0, 0.5287934186471663, 0.5287934186471663, 0.5287934186471663, 0.5287934186471663, 0.5287934186471663, 0.5287934186471663, 0.5287934186471663, 0.5287934186471663, nan]","[0.5014396709323584, 0.5011517367458868, 0.49740859232175494, 0.2514922303473491, 0.1441179159049361, 0.3232381170018283, 0.3182312614259601, 0.5008638025594151, 0.49913619744058485, 0.24908363802559422, 0.49827239488116987, 0.10062842778793421, 0.25337751371115164, 0.49942413162705657, 0.19327239488116998, 0.5025914076782452, 0.25206809872029257, 0.4997120658135281, nan]",0.3290281295776367,57.538793087005615
Predicting Variabilities in Cardiac Gene,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.0017373175816539355,0.5,0.501737317581654,"[1.0, 1.0, 1.0, 1.0, 0.501737317581654, 1.0, 0.501737317581654, 1.0, 1.0, 1.0, 1.0, 0.501737317581654, 0.501737317581654, 1.0, nan]","[1.0, 0.05256080611535788, 0.2674218207088253, 0.555, 0.5001737317581657, 1.0, 0.5002084781097986, 0.1448088950660181, 0.20245656706045864, 1.0, 0.485, 0.024982626824183462, 0.00998262682418346, 0.500121612230716, nan]",0.5217330455780029,14.637079000473022
Regulation of the L-arabinose operon of Escherichia coli,True,13,1,4,0.3076923076923077,3,1.3846153846153846,26,1.7692307692307692,1.0,1.249852062251686,4,0.025859270912279294,0.04885654885654886,0.08523908523908524,"[0.4760914760914761, 0.577962577962578, 0.6334026334026335, 0.5218295218295219, 0.8967428967428968, 0.39778239778239777, 0.5176715176715176, 0.893970893970894, 0.5433125433125434, nan, nan, nan, nan]","[0.26378378378378414, 0.150197505197505, 0.5066701316701316, 0.5002182952182956, 0.26537422037422, 0.29002772002772015, 0.14748787248787226, 0.5410117810117806, 0.14316354816354818, nan, nan, nan, nan]",0.3444972038269043,59.108484983444214
T-LGL Survival Network 2011 Reduced Network,True,18,1,0,0.0,4,2.388888888888889,5,1.8,2.0,0.4000000000000001,2,0.30685349792106104,0.0793854033290653,0.8104993597951344,"[0.998719590268886, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9743918053777209, 0.9743918053777209, 0.9743918053777209, 1.0, 1.0]","[0.2748015364916772, 0.225, 0.2, 0.095, 0.2, 0.22, 0.315, 0.26313700384122946, 0.06471830985915492, 0.25, 0.29, 0.235, 0.255, 0.07163892445582586, 0.2831241997439183, 0.27603713188220264, 0.44473751600512174, 0.25983994878361066]",0.31856799125671387,57.06192708015442
Processing of Spz Network from the Drosophila Signaling Pathway,True,24,1,6,0.25,5,1.1666666666666667,64,1.0,1.0,0.0,1,0.0027866548456252716,0.015583428354237932,0.021664766248574687,"[0.9999999999999999, 0.508171797795515, 0.5096921322690993, 0.4640820980615736, 0.5009502090459901, 0.5093120486507031, 0.5096921322690993, 0.38844545800076025, 0.508171797795515, 0.5093120486507031, 0.508171797795515, 0.13492968453059673, 0.9999999999999999, 0.7594070695553021, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.7472443937666287, nan, nan, nan, nan, nan, nan]","[0.4750000000000001, 0.5004085898897757, 0.5000969213226909, 0.032044849866970725, 0.4999809958190802, 0.4991619156214365, 0.498546180159635, 0.22702204484986693, 0.5000817179779552, 0.5010243253515776, 0.4996731280881795, 0.058057772709996194, 0.5000000000000001, 0.24843785632839224, 0.5000000000000001, 0.4750000000000001, 0.49500000000000005, 0.2501824401368304, nan, nan, nan, nan, nan, nan]",1.7470800876617432,304.62795400619507
Trichostrongylus retortaeformis,True,26,1,1,0.038461538461538464,5,2.230769230769231,3,1.3333333333333333,1.0,0.4714045207910317,2,0.143086230259356,0.2388098999473407,0.5355450236966824,"[1.0, 1.0, 0.5355450236966824, 1.0, 0.7743549236440231, 1.0, 1.0, 1.0, 0.5355450236966824, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5355450236966824, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5355450236966824, 1.0, nan]","[0.1665876777251184, 0.505, 0.22071090047393355, 0.065, 0.12481437598736173, 0.11, 0.025, 0.5, 0.07196682464454976, 0.27071090047393354, 0.14, 0.265, 0.215, 0.505, 0.52, 0.44, 0.2509004739336494, 0.245, 0.13, 0.11, 0.06142180094786728, 0.515, 0.475, 0.3800631911532388, 0.465, nan]",0.3174729347229004,54.06142282485962
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,15,1.8,2.0,0.7483314773547882,3,0.026452939185163796,0.06078610603290677,0.11928702010968921,"[0.7650822669104206, 0.9999999999999999, 0.34049360146252283, 0.5228519195612432, 0.7650822669104205, 0.7650822669104205, 0.40356489945155394, 1.0000000000000002, 0.7650822669104206, 0.5228519195612432, 0.273308957952468, 0.9122486288848263, 0.7650822669104205, 1.0, nan, nan, nan]","[0.20207723948811684, 0.49, 0.07462522851919559, 0.3924748628884821, 0.5053016453382084, 0.502650822669104, 0.21041819012797058, 0.247241773308958, 0.12968464351005476, 0.39868144424131585, 0.24959552102376617, 0.6663939670932365, 0.4973491773308957, 0.20407221206581358, nan, nan, nan]",0.5193819999694824,92.93109583854675
Bordetella bronchiseptica,True,33,1,0,0.0,6,2.393939393939394,2,6.0,6.0,0.0,6,0.17641681901279707,0.5,0.676416819012797,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5, 1.0, 0.49, 0.13234917733089577, 0.145, 1.0, 0.51, 0.45, 0.75, 0.515, 1.0, 0.1052925045703839, 0.755, 0.11543875685557586, 0.48, 0.745, 0.295, 0.705, 0.305, 0.525, 0.4830804387568559, 0.22, 0.4777879341864718, 0.5121937842778799, 0.77, 1.0, 1.0, 1.0, 0.49601462522851975, 0.495, 1.0, 1.0, 0.335]",1.1492838859558105,161.6247329711914
Budding Yeast Cell Cycle 2009,True,18,1,0,0.0,6,3.2777777777777777,2,3.0,3.0,0.0,3,0.10889443059019122,0.5,0.6088944305901912,"[0.6088944305901912, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.01586658354114713, 0.235, 1.0, 0.185, 0.14, 0.165, 0.46, 0.18542186201163757, 1.0, 1.0, 0.03522236076475478, 0.13, 0.555, 0.2, 0.07, 0.18, 0.04477763923524522, 0.25]",0.37879204750061035,40.577276945114136
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.007052186177715081,0.5,0.5070521861777151,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5070521861777151, 1.0, 0.5070521861777151, 1.0, 1.0, 0.5070521861777151, nan]","[0.48, 1.0, 1.0, 0.017535260930888575, 0.2734520451339917, 0.49, 0.1657052186177716, 0.0601410437235543, 0.015070521861777148, 0.49957686882933705, 0.5007757404795489, 0.17845204513399163, 1.0, 0.5005641748942172, nan]",0.2995491027832031,14.72925090789795
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.215, 0.27, 0.56, 0.065, 0.23, 0.245, 0.505, 0.08, 0.48]",0.027984142303466797,1.708892822265625
Cholesterol Regulatory Pathway,True,34,1,0,0.0,3,1.2647058823529411,2,2.0,2.0,0.0,2,0.07445043550394026,0.5,0.5744504355039403,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5744504355039403, 1.0]","[0.505, 0.48, 0.51, 0.51, 0.525, 0.28, 0.54, 1.0, 0.52, 0.465, 0.495, 0.545, 0.24936126088759852, 0.485, 0.52, 0.255, 0.45, 0.53, 0.435, 0.54, 0.18, 0.23148900871007885, 0.485, 0.515, 0.495, 0.29, 0.49, 0.455, 0.53, 0.505, 0.175, 0.52, 0.4977664869348816, 0.485]",0.2949540615081787,52.218940019607544
Cortical Area Development,True,5,1,0,0.0,4,2.8,1,1.0,1.0,0.0,1,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.23, 0.31, 0.165, 0.06, 0.1]",0.014835834503173828,0.5977511405944824
Fanconi anemia and checkpoint recovery,True,15,1,0,0.0,8,4.4,5,1.0,1.0,0.0,1,0.1624389568854521,0.19238095238095237,0.45650793650793653,"[0.6488888888888888, 0.6533333333333333, 1.0, 0.9415873015873015, 0.46095238095238095, 0.6533333333333333, 1.0, 0.45650793650793653, 0.6533333333333333, 1.0, 0.45650793650793653, 0.8076190476190477, 0.6488888888888888, 0.7447619047619047, 0.6533333333333333]","[0.0037238095238095238, 0.044800000000000006, 0.1285777777777778, 0.07306666666666667, 0.0009206349206349207, 0.06270158730158731, 0.2115904761904763, 0.1306984126984127, 0.03835873015873017, 0.2262761904761904, 0.05273968253968255, 0.12958412698412705, 0.048974603174603185, 0.03846984126984127, 0.008266666666666667]",0.8228669166564941,30.93690586090088
Toll Pathway of Drosophila Signaling Pathway,True,11,1,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.020146209966626215,0.24211597151576805,0.28280773143438453,"[0.515768056968464, 0.7497456765005086, 0.7660223804679552, 0.515768056968464, 0.515768056968464, 0.515768056968464, 0.515768056968464, 0.7497456765005086, 0.7497456765005086, nan, nan]","[0.49984231943031543, 0.529969481180061, 0.2508952187182097, 0.49936927772126133, 0.4992115971515767, 0.49921159715157676, 0.5025228891149545, 0.4950050864699898, 0.2537283825025433, nan, nan]",0.03948402404785156,5.533905982971191
Lac Operon,True,13,1,3,0.23076923076923078,4,1.6923076923076923,12,4.333333333333333,3.0,3.39934634239519,9,0.046259288519197965,0.1062959934587081,0.13000817661488143,"[0.8716271463614064, 1.0, 0.8716271463614064, 0.25674570727718726, 1.0, 1.0, 0.5167620605069502, 0.5012264922322158, 0.4987735077677842, 0.6287816843826656, nan, nan, nan]","[0.35469337694194614, 0.7468806214227306, 0.2994562551103846, 0.181937857726901, 0.38007767784137364, 0.7193131643499591, 0.09484873262469332, 0.5000490596892886, 0.24853229762878218, 0.32793949304987746, nan, nan, nan]",0.49362993240356445,74.3290708065033
Mammalian Cell Cycle,True,20,1,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.016002612671456556,0.5,0.5160026126714565,"[1.0, 1.0, 0.5160026126714565, 1.0, 0.5160026126714565, 1.0, 0.5160026126714565, 1.0, 1.0, 1.0, 1.0, 0.5160026126714565, 1.0, 1.0, 0.5160026126714565, 0.5160026126714565, 1.0, 0.5160026126714565, 0.5160026126714565, nan]","[0.03, 0.175, 0.49983997387328544, 0.26, 0.11016002612671456, 0.485, 0.263060091443501, 0.09, 0.13, 0.11, 0.14, 0.5006401045068583, 0.25483997387328544, 0.07, 0.248879817112998, 0.027419986936642715, 0.49, 0.49823971260613975, 0.029519921619856296, nan]",0.19937801361083984,17.421401977539062
Mammalian Cell Cycle 2006,True,10,1,0,0.0,6,3.5,1,2.0,2.0,0.0,2,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.29, 0.215, 0.525, 0.01, 0.08, 1.0, 0.045, 0.06, 0.06, 0.085]",0.10670590400695801,4.71889591217041
Metabolic Interactions in the Gut Microbiome,True,12,1,1,0.08333333333333333,5,2.5,8,8.0,8.0,0.0,8,0.016521150850781232,0.12691960252935863,0.15808491418247517,"[1.0, 0.26558265582655827, 1.0, 0.5293586269196026, 0.5040650406504066, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, nan]","[0.465, 0.08753839205058717, 0.475, 0.5026422764227643, 0.4999186991869917, 1.0, 0.495, 1.0, 0.1373486901535682, 0.485, 1.0, nan]",0.7918219566345215,107.97191882133484
Neurotransmitter Signaling Pathway,True,16,1,0,0.0,3,1.375,5,2.0,2.0,0.0,2,0.1462840583899189,0.12720156555772993,0.49217221135029354,"[1.0, 1.0, 1.0, 1.0, 0.8605675146771037, 1.0, 0.49217221135029354, 1.0, 0.8605675146771037, 1.0, 0.5078277886497065, 0.8605675146771037, 0.8605675146771037, 0.8605675146771037, 0.8605675146771037, 1.0]","[0.46, 0.535, 0.28, 0.52, 0.628507827788648, 0.47, 0.3307656555772994, 0.205, 0.6356849315068478, 0.49, 0.5004696673189825, 0.6093688845401158, 0.291543542074364, 0.6045841487279826, 0.3536937377690801, 1.0]",0.1699991226196289,30.636804819107056
Oxidative Stress Pathway,True,19,1,1,0.05263157894736842,4,1.6842105263157894,6,1.5,1.5,0.5,2,0.1967439642821265,0.06797510770703687,0.5318334131163236,"[0.5318334131163236, 0.5318334131163236, 0.5318334131163236, 0.5318334131163236, 0.5318334131163236, 1.0, 0.5318334131163236, 1.0, 1.0, 0.5318334131163236, 0.5318334131163236, 0.5318334131163236, 0.5318334131163236, 0.5318334131163236, 0.8913355672570608, 1.0, 0.5318334131163236, 0.5318334131163236, nan]","[0.5019100047869791, 0.4990449976065101, 0.501273336524653, 0.23393250359023457, 0.13202967927237916, 0.32112972714217336, 0.2707012924844425, 0.535, 0.46, 0.2482958353279081, 0.49681665868836783, 0.05968166586883676, 0.20928674006701775, 0.49522498803255166, 0.15638583054092872, 0.515, 0.26468166586883674, 0.49777166108185755, nan]",0.2534780502319336,43.94224190711975
Predicting Variabilities in Cardiac Gene,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.002049180327868827,0.5,0.5020491803278688,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5020491803278688, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, nan]","[1.0, 0.06504098360655738, 0.25991803278688524, 0.52, 0.5002663934426227, 1.0, 0.4998155737704919, 0.1877561475409836, 0.20028688524590166, 1.0, 0.55, 0.03006147540983606, 0.02, 0.5000409836065575, nan]",0.3394179344177246,15.277698993682861
Regulation of the L-arabinose operon of Escherichia coli,True,13,1,4,0.3076923076923077,3,1.3846153846153846,38,2.789473684210526,2.0,2.2142825229434346,8,0.022361626641881616,0.01727447216890595,0.07037747920665387,"[0.943058221369162, 0.40307101727447214, 0.7517594369801663, 0.5156749840051184, 0.9961612284069098, 0.4952015355086372, 0.8803582853486884, 0.8701215611004478, 0.8650031989763275, nan, nan, nan, nan]","[0.3466794625719774, 0.2017146513115801, 0.56934101087652, 0.5004702495201536, 0.3493921944977609, 0.35641714651311496, 0.1651727447216892, 0.6695393474088301, 0.16709213051823396, nan, nan, nan, nan]",0.7103579044342041,124.21433305740356
T-LGL Survival Network 2011 Reduced Network,True,18,1,0,0.0,4,2.388888888888889,3,4.333333333333333,4.0,0.4714045207910317,5,0.35041992126871174,0.16365899191039204,0.8214063472308649,"[0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9850653391412569]","[0.2895519601742377, 0.7240012445550715, 0.5158245177349103, 0.23999999999999996, 0.58, 0.57, 0.5349999999999999, 0.5250964530180466, 0.1030024891101431, 0.5098257622899821, 0.7349999999999999, 0.42499999999999993, 0.4649999999999999, 0.12499999999999999, 0.4749999999999999, 0.42999999999999994, 0.5488799004355943, 0.25516179215930324]",0.41873812675476074,64.42832899093628
